sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:source_concept,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
210,o/o,36,,o/oo,0.00,APPROVED,EQUAL,Patrick Thoral,1690327004711,9154,parts per thousand,Unit,MAPS_TO,,Patrick Thoral,1690327003705,
305,sachet,46874,,Sachet,0.12,APPROVED,EQUAL,Patrick Thoral,1690327843148,0,Unmapped,,MAPS_TO,,,0,
14,mg/ml,1153,,mg/ml,0.01,APPROVED,EQUAL,Patrick Thoral,1690326199530,8861,milligram per milliliter,Unit,MAPS_TO,,Patrick Thoral,1690326198693,
67,g/ml,17,,g/ml,0.00,APPROVED,EQUAL,Patrick Thoral,1690327048382,9514,gram per milliliter,Unit,MAPS_TO,,Patrick Thoral,1690327047840,
6,ml,1474705,,ml,0.00,APPROVED,EQUAL,Patrick Thoral,1690326011997,8587,milliliter,Unit,MAPS_TO,,Patrick Thoral,1690326011437,
240,fIE,1,,fIE,0.29,APPROVED,EQUAL,Patrick Thoral,1690327342964,0,Unmapped,,MAPS_TO,,,0,
306,vial,618,,Flacon,0.09,APPROVED,EQUAL,Patrick Thoral,1690327830313,0,Unmapped,,MAPS_TO,,,0,
243,mIE,36,,mIE,0.13,APPROVED,EQUAL,Patrick Thoral,1690327658194,44777577,milli-international unit,Unit,MAPS_TO,,Patrick Thoral,1690327657314,
214,x TOTAL,97,,x TOT,0.45,APPROVED,EQUAL,Patrick Thoral,1690328218884,720868,fraction,Unit,MAPS_TO,,Patrick Thoral,1690328218281,
8,l,71,,l,0.00,APPROVED,EQUAL,Patrick Thoral,1690327679316,8519,liter,Unit,MAPS_TO,,Patrick Thoral,1690327678724,
88,ml/dl,4,,ml/dl,0.00,APPROVED,EQUAL,Patrick Thoral,1690327510106,9570,milliliter per deciliter,Unit,MAPS_TO,,Patrick Thoral,1690327509590,
26,l/min,2,,l/min,0.09,APPROVED,EQUAL,Patrick Thoral,1690327464675,8698,liter per minute,Unit,MAPS_TO,,Patrick Thoral,1690327464145,
293,pl,7,,pl,0.23,APPROVED,EQUAL,Patrick Thoral,1690327562301,9628,picoliter,Unit,MAPS_TO,,Patrick Thoral,1690327561670,
215,copy/ml,20,,kopie/ml,0.08,APPROVED,EQUAL,Patrick Thoral,1690327028242,8799,copies per milliliter,Unit,MAPS_TO,,Patrick Thoral,1690327027408,
94,mmol,132837,,mmol,0.55,APPROVED,EQUAL,Patrick Thoral,1690326124197,9573,millimole,Unit,MAPS_TO,,Patrick Thoral,1690326123062,
223,Lick,280882,,Lik,0.16,APPROVED,EQUAL,Patrick Thoral,1690326522054,45891000,application,Unit,MAPS_TO,,<auto>,1690325914406,
9,g,244377,,g,0.00,APPROVED,EQUAL,Patrick Thoral,1690326084250,8504,gram,Unit,MAPS_TO,,Patrick Thoral,1690326083212,
299,Puff,87902,,Puff,0.05,APPROVED,EQUAL,Patrick Thoral,1690326549582,45891000,application,Unit,MAPS_TO,,Patrick Thoral,1690326548927,
11,µg,17888,,µg,0.00,APPROVED,EQUAL,Patrick Thoral,1690326260217,9655,microgram,Unit,MAPS_TO,,Patrick Thoral,1690326258888,
217,10^2 copy/ml,8,,10^2 kopie/ml,0.05,APPROVED,EQUAL,Patrick Thoral,1690327583871,0,Unmapped,,MAPS_TO,,,0,
10,mg,1957179,,mg,0.04,APPROVED,EQUAL,Patrick Thoral,1690326002851,8576,milligram,Unit,MAPS_TO,,Patrick Thoral,1690326001719,
234,mmol/portion,2,,mmol/portie,0.22,APPROVED,EQUAL,Patrick Thoral,1690327450498,44777615,millimole per specimen,Unit,MAPS_TO,,Patrick Thoral,1690327449338,
100,day,68,,dag,1.00,APPROVED,EQUAL,Patrick Thoral,1690327667360,8512,day,Unit,MAPS_TO,,<auto>,1690325914703,
332,AU/ml,26,,AE/ml,0.07,APPROVED,EQUAL,Patrick Thoral,1690327635231,0,Unmapped,,MAPS_TO,,,0,
12,kg,163,,kg,0.15,APPROVED,EQUAL,Patrick Thoral,1690327872880,9529,kilogram,Unit,MAPS_TO,,Patrick Thoral,1690327872272,
204,°,211,,°,0.00,APPROVED,EQUAL,Patrick Thoral,1690327710055,9484,degree,Unit,MAPS_TO,,Patrick Thoral,1690327709398,
55,fl,551,,fl,0.14,APPROVED,EQUAL,Patrick Thoral,1690327810586,8583,femtoliter,Unit,MAPS_TO,,Patrick Thoral,1690327810097,
4,min,1993,,min,0.34,APPROVED,EQUAL,Patrick Thoral,1690326308905,9211,minute,Unit,MAPS_TO,,<auto>,1690325914917,
255,dg,131,,dg,0.00,APPROVED,EQUAL,Patrick Thoral,1690328203648,9485,decigram,Unit,MAPS_TO,,Patrick Thoral,1690328202756,
49,lbs,204,,lbs,0.15,APPROVED,EQUAL,Patrick Thoral,1690328176322,8739,pound (US),Unit,MAPS_TO,,Patrick Thoral,1690328173172,
338,Tablet,56,,Tablet,1.00,APPROVED,EQUAL,Patrick Thoral,1690326875774,9431,tablet,Unit,MAPS_TO,,<auto>,1690325915052,
5,o'clock,143,,uur,0.15,APPROVED,EQUAL,Patrick Thoral,1690328187298,8505,hour,Unit,MAPS_TO,,Patrick Thoral,1690328186482,
205,INR,6,,INR,0.26,APPROVED,EQUAL,Patrick Thoral,1690327542943,8523,ratio,Unit,MAPS_TO,,Patrick Thoral,1690327542065,
62,g/l,1,,g/l,0.00,APPROVED,EQUAL,Patrick Thoral,1690327335197,8636,gram per liter,Unit,MAPS_TO,,Patrick Thoral,1690327334665,
256,fg,152,,fg,0.00,APPROVED,EQUAL,Patrick Thoral,1690327880166,9496,femtogram,Unit,MAPS_TO,,Patrick Thoral,1690327879635,
50,cm,145,,cm,0.00,APPROVED,EQUAL,Patrick Thoral,1690327889915,8582,centimeter,Unit,MAPS_TO,,Patrick Thoral,1690327889382,
318,Portion,50458,,Portie,0.13,APPROVED,EQUAL,Patrick Thoral,1690327838322,0,Unmapped,,MAPS_TO,,,0,
195,/ml,1,,/ml,0.00,APPROVED,EQUAL,Patrick Thoral,1690327322223,9257,per milliliter,Unit,MAPS_TO,,Patrick Thoral,1690327321551,
244,nIE,1,,nIE,0.13,APPROVED,EQUAL,Patrick Thoral,1690327303592,0,Unmapped,,MAPS_TO,,,0,
51,mm,240,,mm,0.15,APPROVED,EQUAL,Patrick Thoral,1690327735613,8588,millimeter,Unit,MAPS_TO,,Patrick Thoral,1690327735138,
0,None,1677,,None,0.22,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,Keep Unchecked. CDM expects MEASUREMENTS without unit to have unit_concept_id = NULL (instead of '0'),,0,
40,µg/ml,327,,µg/ml,0.00,APPROVED,EQUAL,Patrick Thoral,1690327699368,8859,microgram per milliliter,Unit,MAPS_TO,,Patrick Thoral,1690327698634,
319,dragee,315,,Dragee,0.29,APPROVED,EQUAL,Patrick Thoral,1690327796754,0,Unmapped,,MAPS_TO,,,0,
180,IE,406522,,IE,0.33,APPROVED,EQUAL,Patrick Thoral,1690326032668,8718,international unit,Unit,MAPS_TO,,Patrick Thoral,1690326031843,
45,drop,134697,,druppel,1.00,APPROVED,EQUAL,Patrick Thoral,1690326105893,9296,drop,Unit,MAPS_TO,,<auto>,1690325915499,
182,Capsule,262,,Capsule,0.13,APPROVED,EQUAL,Patrick Thoral,1690327802342,0,Unmapped,,MAPS_TO,,,0,
178,E,175,,E,0.00,APPROVED,EQUAL,Patrick Thoral,1690327864892,8510,unit,Unit,MAPS_TO,,Patrick Thoral,1690327864334,
254,cg,4,,cg,0.00,APPROVED,EQUAL,Patrick Thoral,1690327483759,9479,centigram,Unit,MAPS_TO,,Patrick Thoral,1690327483143,
287,cl,20,,cl,0.16,APPROVED,EQUAL,Patrick Thoral,1690327040124,9482,centiliter,Unit,MAPS_TO,,Patrick Thoral,1690327039447,
159,cell/µl,1,,cel/µl,0.14,APPROVED,EQUAL,Patrick Thoral,1690327259618,8784,cells per microliter,Unit,MAPS_TO,,Patrick Thoral,1690327258909,
181,10^6 IE,3699,,10^6 IE,0.03,APPROVED,EQUAL,Patrick Thoral,1690326385686,9689,Million unit,Unit,MAPS_TO,,Patrick Thoral,1690326384719,
289,dl,2,,dl,0.00,APPROVED,EQUAL,Patrick Thoral,1690327368904,9486,deciliter,Unit,MAPS_TO,,Patrick Thoral,1690327368217,
179,10^6 E,45,,10^6 E,0.02,APPROVED,EQUAL,Patrick Thoral,1690326891905,9689,Million unit,Unit,MAPS_TO,,Patrick Thoral,1690326891172,
259,pg,7,,pg,0.00,APPROVED,EQUAL,Patrick Thoral,1690327550638,8564,picogram,Unit,MAPS_TO,,Patrick Thoral,1690327550145,
191,No,41506,,Geen,0.18,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,Keep Unchecked. CDM expects MEASUREMENTS without unit to have unit_concept_id = NULL (instead of '0'),,0,
171,Number,18737,,Aantal,0.83,APPROVED,EQUAL,Patrick Thoral,1690327851011,0,Unmapped,,MAPS_TO,,,0,
290,hl,3,,hl,0.00,APPROVED,EQUAL,Patrick Thoral,1690327474714,9520,hectoliter,Unit,MAPS_TO,,Patrick Thoral,1690327473983,
258,ng,2,,ng,0.14,APPROVED,EQUAL,Patrick Thoral,1690327354906,9600,nanogram,Unit,MAPS_TO,,Patrick Thoral,1690327354210,
269,10^2,1,,10^2,0.01,APPROVED,EQUAL,Patrick Thoral,1690327239421,710257,hundred,Unit,MAPS_TO,,Patrick Thoral,1690327238617,
292,NL,1,,nl,0.00,APPROVED,EQUAL,Patrick Thoral,1690327208126,9606,nanoliter,Unit,MAPS_TO,,Patrick Thoral,1690327207294,
