source_concept_id,source_concept,ordercategoryid,ordercategoryname,count,source_concept_en
7921,ECG,81,Opdr. Circulatie,14480,ECG
7922,X-Thorax,82,Opdr. Respiratie,11028,Chest X-ray
7928,Uitzuigen,82,Opdr. Respiratie,1527,Suction
7949,Filter CVVH wisselen,105,Opdr. CVVH,1376,Change filter CVVH
8002,Beademingsslangen  vervangen,90,Opdr. Lijnen/Catheter/Drains,2688,Replace breathing tubes
8029,CTScan,103,Opdr. Radiologie,89,CT-scan
8030,PleuraSpoelen,89,Opdr. Overig,29,PleuraRinse
8094,Vancomycinespiegel afnemen,73,Opdr. Laboratorium afname,2676,Decrease vancomycin level
8097,Sputumkweek afnemen,74,Opdr. Kweken afnemen,10397,Take a sputum culture
8101,Digoxinespiegel afnemen,73,Opdr. Laboratorium afname,155,Decrease digoxin level
8109,Decubitus controle,101,Opdr. Huid,1117,Pressure ulcer control
8131,Familie gesprek,86,Opdr. Psycho-sociaal,6429,Family conversation
8177,Buikwond spoelen,101,Opdr. Huid,936,Rinse abdominal wound
8228,Patiënt wegen,89,Opdr. Overig,3373,Weigh the patient
8269,Infuus verschonen,90,Opdr. Lijnen/Catheter/Drains,16,Change IV
8418,Urinekweek afnemen,74,Opdr. Kweken afnemen,504,Take a urine culture
8477,Afnemen vpk anamnse,89,Opdr. Overig,17,Taking a primary care history
8490,Maagsonde vervangen,90,Opdr. Lijnen/Catheter/Drains,1266,Replace gastric tube
8491,CAD vervangen,90,Opdr. Lijnen/Catheter/Drains,124,CAD replaced
8502,Cardiac Output meten,81,Opdr. Circulatie,189,Measure cardiac output
8503,Neuro controles,83,Opdr. Neurologisch,31725,Neuro controls
8538,X-Buikoverzicht,103,Opdr. Radiologie,96,X-Abdomen overview
8540,CT scan abdomen,103,Opdr. Radiologie,73,CT scan abdomen
8542,CT scan brein,83,Opdr. Neurologisch,110,CT scan brain
8543,CT scan thorax,82,Opdr. Respiratie,72,CT scan thorax
8544,Cortisol afnemen,73,Opdr. Laboratorium afname,1397,Decrease cortisol
8545,Temperatuur opnemen,81,Opdr. Circulatie,221,Take temperature
8548,Schrijven VPK ontslagrapport,89,Opdr. Overig,32,Writing VPK dismissal report
8588,MRSA kweken afnemen,74,Opdr. Kweken afnemen,71,Collect MRSA cultures
8617,Aderlaten,89,Opdr. Overig,8,Bloodletting
9183,Verwijderen Lijn/Catheter/Drain,90,Opdr. Lijnen/Catheter/Drains,482,Remove Line/Catheter/Drain
9189,Bloedkweken afnemen,74,Opdr. Kweken afnemen,5439,Take blood cultures
9190,Cathetertipkweek afnemen,74,Opdr. Kweken afnemen,645,Collect catheter tip culture
9191,Drainvochtkweek afnemen,74,Opdr. Kweken afnemen,205,Take a drain culture
9192,Faeceskweek afnemen,74,Opdr. Kweken afnemen,782,Take a stool culture
9193,X-Kweek nader te bepalen,74,Opdr. Kweken afnemen,706,X-Breeding to be determined later
9194,Liquorkweek afnemen,74,Opdr. Kweken afnemen,1084,Take liquor culture
9195,Neuskweek afnemen,74,Opdr. Kweken afnemen,56,Take a nasal culture
9197,Perineumkweek afnemen,74,Opdr. Kweken afnemen,6,Take a perineal culture
9198,Rectumkweek afnemen,74,Opdr. Kweken afnemen,25,Take a rectal culture
9200,Wondkweek afnemen,74,Opdr. Kweken afnemen,318,Take wound cultures
9202,Ascitesvochtkweek afnemen,74,Opdr. Kweken afnemen,43,Take an ascitic fluid culture
9203,Keelkweek afnemen,74,Opdr. Kweken afnemen,90,Take a throat culture
9204,SDD-kweken afnemen,74,Opdr. Kweken afnemen,10483,Take SDD cultures
9205,Legionella sneltest (urine),74,Opdr. Kweken afnemen,195,Legionella rapid test (urine)
9206,Amikacinespiegel afnemen,73,Opdr. Laboratorium afname,25,Decrease Amikacin levels
9207,X-Lab nader te bepalen,73,Opdr. Laboratorium afname,20860,X-Lab TBD
9208,Depakinespiegel afnemen,73,Opdr. Laboratorium afname,133,Decrease the pakine level
9209,Diphantoïnespiegel afnemen,73,Opdr. Laboratorium afname,211,Diphantoin levels decrease
9211,Flucytoïnespiegel afnemen,73,Opdr. Laboratorium afname,3,Decrease flucytoin level
9212,Gentamycinespiegel afnemen,73,Opdr. Laboratorium afname,275,Decrease gentamicin levels
9213,Theophyllinespiegel afnemen,73,Opdr. Laboratorium afname,16,Decrease theophylline level
9214,Tobramycinespiegel afnemen,73,Opdr. Laboratorium afname,430,Tobramycin levels decrease
9216,Pentobarbitalspiegel afnemen,73,Opdr. Laboratorium afname,20,Decrease pentobarbital level
9217,Ancotilspiegel afnemen,73,Opdr. Laboratorium afname,5,Decrease ancotil level
9218,Overige labafname's,73,Opdr. Laboratorium afname,5327,Other lab tests
9222,Kruisproef afnemen,73,Opdr. Laboratorium afname,361,Conduct a cross match
9224,PT/CT afnemen,73,Opdr. Laboratorium afname,25637,Administer PT/CT
9231,6D Dagelijks Standaard,73,Opdr. Laboratorium afname,1928,6D Daily Standard
9247,EEG,83,Opdr. Neurologisch,74,EEC
9248,EMG,83,Opdr. Neurologisch,11,EMG
9249,BAL,82,Opdr. Respiratie,19,BALL
9250,CVVH-lab. afnemen,73,Opdr. Laboratorium afname,12651,CVVH lab. to decrease
9251,Colonscopie,84,Opdr. Gastro-Intestinaal,53,Colonoscopy
9252,Bronchoscopie.,82,Opdr. Respiratie,68,Bronchoscopy.
9253,Gastroscopie,84,Opdr. Gastro-Intestinaal,149,Gastroscopy
9255,Transoesofageale echocardiografie (TEE),81,Opdr. Circulatie,129,Transesophageal echocardiography (TEE)
9256,Transthoracale echocardiografie (TTE) oud,81,Opdr. Circulatie,4,Transthoracic echocardiography (TTE) old
9257,Echo-Bovenbuik,103,Opdr. Radiologie,113,Ultrasound-Upper abdomen
9259,24-uurs urine sparen,73,Opdr. Laboratorium afname,514,24-hour urine saving
9260,Lumbaal Punctie (LP),83,Opdr. Neurologisch,55,Lumbar Puncture (LP)
9261,Blaasdruk meten,85,Opdr. Urologisch,580,Measure bladder pressure
9262,Beenmerg punctie,89,Opdr. Overig,7,Bone marrow puncture
9263,Botboring,89,Opdr. Overig,2,Bone drilling
9265,6D Lab. Langeligger (Di + Vr),73,Opdr. Laboratorium afname,164,6D Lab. Long beam (Tue + Fri)
9266,6D Lab. Spoedpatiënt,73,Opdr. Laboratorium afname,79,6D Lab. Emergency patient
9267,Lab. CCH-VAT  T = 2,73,Opdr. Laboratorium afname,8108,Lab. CCH-VAT T = 2
9268,Lab. CCH-VAT   T = 6,73,Opdr. Laboratorium afname,7983,Lab. CCH-VAT T = 6
9269,Lab. CCH-VAT  T = 0,73,Opdr. Laboratorium afname,8331,Lab. CCH-VAT T = 0
9270,Bloedgas afnemen,73,Opdr. Laboratorium afname,29209,Take blood gas
9275,Filter beademing verwisselen,90,Opdr. Lijnen/Catheter/Drains,16,Change ventilation filter
9276,Slangen beademingscircuit vervangen,90,Opdr. Lijnen/Catheter/Drains,3,Replace breathing circuit hoses
9278,Sponsje kunstneus verschonen,90,Opdr. Lijnen/Catheter/Drains,73,Changing an artificial nose sponge
9279,Sponsje spreekcanule verschonen,90,Opdr. Lijnen/Catheter/Drains,739,Change the speaking cannula sponge
9280,Tracheacanule verzorgen,90,Opdr. Lijnen/Catheter/Drains,14738,Caring for tracheostomy tube
9281,Stoma plak/zak verschonen,90,Opdr. Lijnen/Catheter/Drains,1560,Changing the stoma pad/bag
9282,Urimeter verschonen,90,Opdr. Lijnen/Catheter/Drains,1066,Change urimeter
9285,Catheterzak verwisselen,90,Opdr. Lijnen/Catheter/Drains,20,Change catheter bag
9286,Arterielijn verschonen,90,Opdr. Lijnen/Catheter/Drains,48,Change artery line
9287,Drukzak vernieuwen,90,Opdr. Lijnen/Catheter/Drains,69453,Renew pressure bag
9288,Lijnen verschonen,90,Opdr. Lijnen/Catheter/Drains,14789,Changing lines
9289,Tubefixatie verschonen,90,Opdr. Lijnen/Catheter/Drains,8659,Changing tube fixation
9290,24 uurs Gesloten uitzuigsysteem verschonen,90,Opdr. Lijnen/Catheter/Drains,243,24 hour Closed suction system change
9291,Sondevoedingsysteem verschonen,90,Opdr. Lijnen/Catheter/Drains,26884,Change tube feeding system
9292,Swan Ganz wisselen,90,Opdr. Lijnen/Catheter/Drains,17,Swan Ganz change
9293,Centrale lijn wisselen,90,Opdr. Lijnen/Catheter/Drains,102,Switch central line
9294,Vernevelset verschonen,90,Opdr. Lijnen/Catheter/Drains,39,Change the nebulizer kit
9296,Dialyse lijn wisselen,90,Opdr. Lijnen/Catheter/Drains,18,Change dialysis line
9297,Maagzuigdrainage verschonen,90,Opdr. Lijnen/Catheter/Drains,12,Change gastric drainage
9298,Parenterale infuuslijn verschonen,90,Opdr. Lijnen/Catheter/Drains,38,Change parenteral infusion line
9299,Faecescollecterzak verschonen,90,Opdr. Lijnen/Catheter/Drains,27,Change faeces collection bag
9300,Drainzakje(s) wond verschonen,90,Opdr. Lijnen/Catheter/Drains,367,Change wound drainage bag(s).
9301,Consult Neuroloog,83,Opdr. Neurologisch,43,Consult Neurologist
9302,Consult Cardioloog,81,Opdr. Circulatie,13,Consult Cardiologist
9303,Consult KNO-arts,89,Opdr. Overig,63,Consult ENT doctor
9304,Consult Algemeen Chirurg,89,Opdr. Overig,56,Consult General Surgeon
9305,Consult Cardiochirurg,81,Opdr. Circulatie,3,Consult Cardio Surgeon
9306,Consult Neurochirurg,83,Opdr. Neurologisch,49,Consult Neurosurgeon
9307,Consult Gastro-enteroloog,84,Opdr. Gastro-Intestinaal,24,Consult Gastroenterologist
9308,Consult Psychiater,86,Opdr. Psycho-sociaal,84,Consult Psychiatrist
9309,Consult Longarts,82,Opdr. Respiratie,5,Consult Pulmonologist
9310,Consult Traumatoloog,87,Opdr. Houding & Beweging,40,Consult Traumatologist
9311,Consult Vaatchirurg,81,Opdr. Circulatie,3,Consultation Vascular Surgeon
9312,Consult Orthopedisch chirurg,87,Opdr. Houding & Beweging,2,Consultation Orthopedic surgeon
9313,Consult Diëtiste,84,Opdr. Gastro-Intestinaal,71,Consult Dietitian
9314,Consult Fysiotherapie,87,Opdr. Houding & Beweging,554,Physiotherapy consultation
9316,Consult Dermatoloog,101,Opdr. Huid,81,Consult Dermatologist
9317,Consult Oogarts,89,Opdr. Overig,14,Consult Ophthalmologist
9318,Consult Uroloog,85,Opdr. Urologisch,14,Consult Urologist
9319,Consult Gynaecoloog,89,Opdr. Overig,73,Consult Gynecologist
9320,Consult Kaakchirurg,89,Opdr. Overig,9,Consultation Oral Surgeon
9321,Consult Nefroloog,85,Opdr. Urologisch,2,Consult Nephrologist
9324,Cuffdruk meten,82,Opdr. Respiratie,34389,Measure cuff pressure
9326,Bronchiaal toilet geven,82,Opdr. Respiratie,1803,Give bronchial toilet
9329,Catheteriseren,85,Opdr. Urologisch,615,Catheterization
9330,Ontcuffen,82,Opdr. Respiratie,573,Uncuffing
9332,Wondverzorging,101,Opdr. Huid,18481,Wound care
9335,Balloneren (Bronchiaal toilet),82,Opdr. Respiratie,1904,Ballooning (Bronchial toilet)
9336,X-Opdracht nader te bepalen,89,Opdr. Overig,24769,X-Assignment to be determined later
9337,Maagretentie bepalen,84,Opdr. Gastro-Intestinaal,8826,Determining gastric retention
9338,Mondverzorging,104,Opdr. Verzorging,3530,Oral care
9339,Oogverzorging,104,Opdr. Verzorging,389,Eye care
9340,Duodenumsonde doorspuiten,84,Opdr. Gastro-Intestinaal,1223,Flush duodenal tube
9341,Hechtingen-verwijderen,89,Opdr. Overig,35,Removing stitches
9343,Jejunumfistel doorspuiten,84,Opdr. Gastro-Intestinaal,760,Inject jejunal fistula
9344,Pacemaker Ventr.drempelen (Output),81,Opdr. Circulatie,846,Pacemaker Vent Thresholds (Output)
9345,Pulsaties controleren,81,Opdr. Circulatie,3435,Check pulsations
9346,Sinusspoeling,89,Opdr. Overig,16,Sinus rinse
9352,Infuussysteem TPV verschonen,90,Opdr. Lijnen/Catheter/Drains,696,Change the TPV infusion system
9353,Maagsonde verwisselen,90,Opdr. Lijnen/Catheter/Drains,1,Change gastric tube
9354,CAD (Silicone) vervangen,90,Opdr. Lijnen/Catheter/Drains,33,Replace CAD (Silicone).
9363,Transthoracale echocardiografie (TTE),81,Opdr. Circulatie,219,Transthoracic echocardiography (TTE)
9364,X-Opdr.Circulatie,81,Opdr. Circulatie,9111,X-Job Circulation
9365,X-Opdr. gastro-Intestinaal,84,Opdr. Gastro-Intestinaal,8354,X-Order gastrointestinal
9366,X-Opdr. Houding & Beweging,87,Opdr. Houding & Beweging,18180,X-Order Posture & Movement
9367,X-Opdr. Huid nader te bepalen,101,Opdr. Huid,2152,X-Order Skin to be determined
9368,X-opdr. Neurologisch,83,Opdr. Neurologisch,5708,X command Neurological
9369,X-Opdr. Infectie,88,Opdr. Infectie,1601,X-Order Infection
9370,X-Opdr. Psycho-sociaal,86,Opdr. Psycho-sociaal,14076,X-Order Psycho-social
9371,X-OPDR.Radiologie,103,Opdr. Radiologie,311,X-OBDR.Radiology
9372,X-Sinus,103,Opdr. Radiologie,274,X-Sine
9375,Haren wassen,104,Opdr. Verzorging,162,Washing hair
9376,X-Lijnen/Catheter/Drains,90,Opdr. Lijnen/Catheter/Drains,3630,X-Lines/Catheter/Drains
9377,X-opdracht Respiratie,82,Opdr. Respiratie,13102,X command Respiration
9378,X-Opdracht Urologisch,85,Opdr. Urologisch,1721,X-Assignment Urological
9389,Consult Decubitus vpk,101,Opdr. Huid,421,Consult Decubitus vpk
9390,Consult Ergotherapie,87,Opdr. Houding & Beweging,168,Occupational therapy consultation
9391,Geestelijk verzorger inschakelen,86,Opdr. Psycho-sociaal,110,Engage a spiritual counselor
9392,Consult Logopedie,83,Opdr. Neurologisch,138,Speech therapy consultation
9393,Consult Mondhygiënist(e),89,Opdr. Overig,15,Consult Dental Hygienist
9394,Pijnteam inschakelen,89,Opdr. Overig,19,Call in pain team
9395,Voedingsteam inschakelen,84,Opdr. Gastro-Intestinaal,59,Engage nutrition team
9396,Consult Psycholoog,86,Opdr. Psycho-sociaal,17,Consult Psychologist
9397,Ziekenhuishygiënist(e) inschakelen,89,Opdr. Overig,1,Call in a hospital hygienist
9398,Tolk (doventolk) inschakelen,89,Opdr. Overig,4,Call in an interpreter (deaf interpreter).
9413,Resetten CVVH,105,Opdr. CVVH,7795,Reset CVVH
9423,Beademingsafspraken,82,Opdr. Respiratie,4631,Ventilation appointments
9427,ADL schema opstellen,104,Opdr. Verzorging,84,Draw up ADL schedule
9428,ADL hulpmiddelen aanbieden,104,Opdr. Verzorging,212,Offer ADL aids
9429,Anamnese afnemen,104,Opdr. Verzorging,2491,Take anamnesis
9432,Bewustzijn controle,83,Opdr. Neurologisch,266,Consciousness control
9433,Blaastraining geven,85,Opdr. Urologisch,82,Provide bladder training
9434,Buikomvang meten,89,Opdr. Overig,119,Measure waist circumference
9435,CPAP masker geven,82,Opdr. Respiratie,314,Give CPAP mask
9438,Dec. VPK inschakelen,101,Opdr. Huid,42,Dec. Enable VPK
9439,Decubitusstadium bepalen,101,Opdr. Huid,28,Determine pressure ulcer stage
9440,Eten bestellen keuken,89,Opdr. Overig,56,Order food from kitchen
9442,Eénmalig catheteriseren,85,Opdr. Urologisch,269,Catheterization once
9443,Blaas spoelen,85,Opdr. Urologisch,1994,Bladder flushing
9444,X-Thorax 6.00u,103,Opdr. Radiologie,28586,Chest X-ray 6:00 am
9445,ECG 6.00u,81,Opdr. Circulatie,35104,ECG 6:00 am
9446,Lab. dgs Standaard 6.00u,73,Opdr. Laboratorium afname,64720,Lab. Days Standard 6:00 am
9447,Bloedgas afn. 6.00u,73,Opdr. Laboratorium afname,4509,Blood gas den. 6:00 am
9449,Opdr.\Proc. Stoppen,111,1. Stoppen/Wijzigen,38539,Assignment\Proc. Fuses
9450,Opdr.\Proc Hervatten,111,1. Stoppen/Wijzigen,1483,Command\Proc Resume
9451,Opdr.\Proc. Tijdelijk stoppen,111,1. Stoppen/Wijzigen,2730,Assignment\Proc. Stop temporarily
9452,Opdr.\Proc. wijzigen,111,1. Stoppen/Wijzigen,66407,Assignment\Proc. modify
9462,Herstart protocol lijnen verschonen,90,Opdr. Lijnen/Catheter/Drains,24,Restart protocol to change lines
9466,.CVVH starten,105,Opdr. CVVH,873,Start .CVVH
9467,CVVH anti-coagulantia starten,105,Opdr. CVVH,520,Initiate CVVH anticoagulants
9473,CVVH stoppen,105,Opdr. CVVH,56,Stop CVVH
9476,Intuberen,82,Opdr. Respiratie,162,Intubate
9479,TED kousen aan,87,Opdr. Houding & Beweging,1071,TED stockings
9480,Synacthentest uitvoeren,89,Opdr. Overig,668,Perform synacthen test
9483,Haemodynamisch profiel,81,Opdr. Circulatie,2266,Haemodynamic profile
9484,Extuberen,82,Opdr. Respiratie,510,Extubate
9486,Doorzuchten/Hoesten stimuleren,82,Opdr. Respiratie,368,Stimulate sighing/coughing
9487,EVD verbinden insteekplaats,104,Opdr. Verzorging,92,EVD connect plug-in
9488,Fixeren handen (polsbanden),87,Opdr. Houding & Beweging,248,Fixing hands (wristbands)
9489,Fixeren met onrustband + hekken,87,Opdr. Houding & Beweging,68,Fix with rest strap + fences
9490,Fractuur fixeren bij draaien,87,Opdr. Houding & Beweging,271,Fix fracture when turning
9493,Intrinsic PEEP en Airtrap bepalen,82,Opdr. Respiratie,101,Determining Intrinsic PEEP and Airtrap
9496,Kinnebak geven,82,Opdr. Respiratie,2,Give chin
9497,Zuurstofkapje geven,82,Opdr. Respiratie,32,Provide oxygen hood
9498,Diep nasaal zuurstof geven,82,Opdr. Respiratie,7,Give deep nasal oxygen
9500,Liquor labwaarts,73,Opdr. Laboratorium afname,1965,Liquor labward
9501,Water voor O2 verschonen,90,Opdr. Lijnen/Catheter/Drains,13,Change water for O2
9502,Blaasspuit vernieuwen,90,Opdr. Lijnen/Catheter/Drains,6,Renew blow syringe
9503,Maaghevelzak vernieuwen,90,Opdr. Lijnen/Catheter/Drains,44,Renew gastric siphon bag
9504,Sterielwaterfles vernieuwen,90,Opdr. Lijnen/Catheter/Drains,35,Renew sterile water bottle
9505,Pall+Antivirusfilter+Swivel,90,Opdr. Lijnen/Catheter/Drains,47,Pall+Antivirus Filter+Swivel
9507,Monddouche geven,104,Opdr. Verzorging,815,Give oral irrigator
9509,Maaghevel inbrengen,84,Opdr. Gastro-Intestinaal,196,Insert gastric siphon
9510,Maagsonde inbrengen,84,Opdr. Gastro-Intestinaal,552,Insert stomach tube
9511,Maagzuigdrainage geven,84,Opdr. Gastro-Intestinaal,81,Give gastric suction drainage
9512,Mobiliseren schema,87,Opdr. Houding & Beweging,4670,Mobilize schedule
9515,Nasaal toilet geven,82,Opdr. Respiratie,173,Give nasal toilet
